Isolate	final genotype	YearMonth	year	month
AUSMDU00009553	3.6.1.1	2017_09	2017	09
AUSMDU00038113	3.6.1.1.2	2019_11	2019	11
AUSMDU00038114	3.6.1.1.2	2019_11	2019	11
AUSMDU00009153	3.7.29.1.2.1	2016_07	2016	07
AUSMDU00014831	3.7.29.1.2.1	2018_04	2018	04
AUSMDU00008362	3.6.1.1.1	2016_03	2016	03
AUSMDU00021334	3.6.1.1.1	2018_10	2018	10
AUSMDU00021848	3.6.1.1.1	2018_10	2018	10
AUSMDU00011149	3.7.29.1.2.1	2017_12	2017	12
AUSMDU00040370	3.7.29.1.4.1	2020_01	2020	01
AUSMDU00042638	3.7.29.1.4.1	2020_02	2020	02
AUSMDU00038533	3.7.29.1.4.1	2019_11	2019	11
AUSMDU00039843	3.7.29.1.4.1	2019_12	2019	12
AUSMDU00024429	3.6.1.1.2	2019_01	2019	01
AUSMDU00011293	3.7.3	2017_12	2017	12
AUSMDU00039767	3.7.29.1.4.1	2019_12	2019	12
AUSMDU00011480	3.6.1.1.2	2017_12	2017	12
AUSMDU00012912	3.6.1.1.2	2018_02	2018	02
AUSMDU00033757	3.6.1.1.2	2019_08	2019	08
AUSMDU00036897	3.6.1.1.2	2019_10	2019	10
AUSMDU00024820	3.6.1.1.1	2019_01	2019	01
AUSMDU00025312	3.6.1.1.2	2019_02	2019	02
AUSMDU00012363	3.6.1.1	2018_01	2018	01
AUSMDU00012364	3.6.1.1	2018_01	2018	01
AUSMDU00027384	3.6.1.1.2	2019_03	2019	03
AUSMDU00029579	3.6.1.1.2	2019_05	2019	05
AUSMDU00013806	3.7.3	2018_03	2018	03
AUSMDU00030252	3.6.1.1.2	2019_06	2019	06
AUSMDU00032308	3.6.1.1.2	2019_07	2019	07
AUSMDU00009369	3.7.29.1.2.1	2016_10	2016	10
AUSMDU00010003	3.7.29.1.2.1	2016_10	2016	10
AUSMDU00009488	3.6.4	2016_05	2016	05
AUSMDU00009420	3.7.29.1.4.1	2017_06	2017	06
AUSMDU00008649	3.7.29.1.4.1	2017_06	2017	06
AUSMDU00044953	3.7.29.1.4.1	2020_03	2020	03
AUSMDU00015777	3.6.1.1.2	2018_05	2018	05
AUSMDU00016499	3.6.1.1.2	2018_05	2018	05
AUSMDU00031534	3.7.3	2019_07	2019	07
AUSMDU00008361	3.7.29.1.2.1	2016_03	2016	03
AUSMDU00028600	3.6.1.1.2	2019_04	2019	04
AUSMDU00036803	3.7.29.1.4.1	2019_10	2019	10
AUSMDU00010044	2.6.1	2017_09	2017	09
AUSMDU00010163	3.7.29.1.2.1	2017_10	2017	10
AUSMDU00037932	3.6.1.1.2	2019_11	2019	11
AUSMDU00005735	3.6.1.1.1	2016_09	2016	09
AUSMDU00010002	3.6.1.1.1	2016_09	2016	09
AUSMDU00009376	3.7.29.1.4.1	2016_10	2016	10
AUSMDU00009991	3.7.29.1.2.1	2016_07	2016	07
AUSMDU00009993	3.7.29.1.2.1	2016_08	2016	08
AUSMDU00026706	3.6.1.1.2	2019_03	2019	03
AUSMDU00009531	3.7.29.1.2.1	2016_06	2016	06
AUSMDU00024390	3.6.1.1.2	2018_12	2018	12
AUSMDU00021520	3.6.1.1.2	2018_10	2018	10
AUSMDU00025311	3.6.1.1.2	2018_11	2018	11
AUSMDU00025490	3.6.1.1.2	2019_02	2019	02
AUSMDU00026328	3.6.1.1.2	2019_02	2019	02
AUSMDU00010908	3.6.1.1	2017_11	2017	11
AUSMDU00020144	3.6.1.1.2	2018_09	2018	09
AUSMDU00021333	3.6.1.1.2	2018_10	2018	10
AUSMDU00038111	3.7.30.1	2019_11	2019	11
AUSMDU00042640	3.7.29.1.4.1	2020_02	2020	02
AUSMDU00012898	3.6.1.1.2	2018_02	2018	02
AUSMDU00013452	3.6.1.1.2	2018_02	2018	02
AUSMDU00020272	3.6.1.1.2	2018_09	2018	09
AUSMDU00028086	3.6.1.1.2	2019_04	2019	04
AUSMDU00029346	3.6.1.1.2	2019_05	2019	05
AUSMDU00024505	3.6.1.1.2	2019_01	2019	01
AUSMDU00009458	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00040740	3.7.29.1.4.1	2020_01	2020	01
AUSMDU00026010	3.6.1.1.2	2019_02	2019	02
AUSMDU00027152	3.6.1.1.2	2019_03	2019	03
AUSMDU00010704	3.7.18	2017_11	2017	11
AUSMDU00028927	3.6.1.1.2	2019_04	2019	04
AUSMDU00018499	3.6.1.1.2	2018_07	2018	07
AUSMDU00019027	3.6.1.1.2	2018_08	2018	08
AUSMDU00013807	3.7.3	2018_03	2018	03
AUSMDU00013125	3.6.1.1.2	2018_02	2018	02
AUSMDU00013591	3.6.1.1.2	2018_03	2018	03
AUSMDU00028166	3.6.1.1.2	2019_04	2019	04
AUSMDU00012504	3.6.3	2018_01	2018	01
AUSMDU00009177	3.7.29.1.2.1	2016_08	2016	08
AUSMDU00009496	3.7.29.1.2.1	2016_06	2016	06
AUSMDU00040123	3.6.1.1.2	2020_01	2020	01
AUSMDU00041668	3.6.1.1.2	2020_02	2020	02
AUSMDU00028930	3.6.1.1.2	2019_04	2019	04
AUSMDU00029771	3.6.1.1.2	2019_05	2019	05
AUSMDU00025405	3.6.1.1.1	2019_02	2019	02
AUSMDU00026138	3.6.1.1.1	2019_02	2019	02
AUSMDU00027795	3.6.1.1.2	2019_04	2019	04
AUSMDU00029772	3.6.1.1.2	2019_05	2019	05
AUSMDU00009147	3.7.29.1.2.1	2016_06	2016	06
AUSMDU00025486	3.6.1.1.2	2019_02	2019	02
AUSMDU00037338	3.7.29.1.4.1	2019_10	2019	10
AUSMDU00027616	3.6.1.1.2	2019_04	2019	04
AUSMDU00009532	3.7.29.1.2.1	2016_06	2016	06
AUSMDU00009989	3.7.29.1.2.1	2016_07	2016	07
AUSMDU00008173	3.7.29.1.2.1	2016_08	2016	08
AUSMDU00012362	3.7.29.1.2.1	2018_01	2018	01
AUSMDU00044076	3.7.29.1.4.1	2020_02	2020	02
AUSMDU00008192	3.6.1.1.2	2016_09	2016	09
AUSMDU00009998	3.6.1.1.2	2016_09	2016	09
AUSMDU00009142	3.7.29.1.2.1	2016_06	2016	06
AUSMDU00008596	3.7.29.1.2.1	2017_06	2017	06
AUSMDU00010785	3.7.3	2017_11	2017	11
AUSMDU00009181	3.7.3	2016_08	2016	08
AUSMDU00009996	3.7.3	2016_08	2016	08
AUSMDU00024427	3.7.9	2019_01	2019	01
AUSMDU00008190	3.7.29.1.2.1	2016_09	2016	09
AUSMDU00023731	3.6.1.1.2	2018_12	2018	12
AUSMDU00027143	3.6.1.1.2	2019_03	2019	03
AUSMDU00009403	3.7.29.1.2.1	2016_11	2016	11
AUSMDU00017940	3.6.1.1.2	2018_07	2018	07
AUSMDU00018468	3.6.1.1.2	2018_08	2018	08
AUSMDU00049641	3.7.3	2020_08	2020	08
AUSMDU00008333	3.6.1.1.2	2016_01	2016	01
AUSMDU00008334	2.7.1	2016_01	2016	01
AUSMDU00008335	3.6.1.1	2016_01	2016	01
AUSMDU00008338	3.7.29.1	2016_01	2016	01
AUSMDU00008339	2.7.4	2016_01	2016	01
AUSMDU00008341	3.6.1.1	2016_01	2016	01
AUSMDU00008342	3.6.1.1	2016_01	2016	01
AUSMDU00008344	3.7.3	2016_01	2016	01
AUSMDU00008345	3.7.29.1.2.1	2016_01	2016	01
AUSMDU00008348	3.6.1.1.3	2016_02	2016	02
AUSMDU00009986	3.6.1.1.2	2016_02	2016	02
AUSMDU00008349	3.6.1.1	2016_02	2016	02
AUSMDU00008350	3.7.3	2016_02	2016	02
AUSMDU00008351	3.7.3	2016_02	2016	02
AUSMDU00008352	3.7.24	2016_02	2016	02
AUSMDU00008353	3.7.3	2016_02	2016	02
AUSMDU00008354	3.6.4	2016_02	2016	02
AUSMDU00008358	3.6.1	2016_03	2016	03
AUSMDU00008359	3.6.1.1	2016_03	2016	03
AUSMDU00008364	3.7.29.1.2.1	2016_03	2016	03
AUSMDU00008365	3.7.3	2016_03	2016	03
AUSMDU00008366	3.6.1.1.1	2016_03	2016	03
AUSMDU00008367	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00009455	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00009457	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00009459	2.6.1	2016_04	2016	04
AUSMDU00009460	1.4	2016_04	2016	04
AUSMDU00009461	3.7.3	2016_04	2016	04
AUSMDU00009462	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00009463	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00009465	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00009468	3.7.21	2016_04	2016	04
AUSMDU00009469	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00009470	3.6.1.1	2016_04	2016	04
AUSMDU00009471	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00005727	3.6.1.1.1	2016_04	2016	04
AUSMDU00009473	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00009474	3.7.29.1.2.1	2016_04	2016	04
AUSMDU00009475	3.7.29.1.2.1	2016_05	2016	05
AUSMDU00009476	3.7.29.1.2.1	2016_05	2016	05
AUSMDU00009478	3.7.29.1.2.1	2016_05	2016	05
AUSMDU00009479	3.7.18	2016_05	2016	05
AUSMDU00009481	3.6.1.1.1	2016_05	2016	05
AUSMDU00009482	3.7.29.1.2.1	2016_05	2016	05
AUSMDU00005728	3.7.29.1.4.1	2016_05	2016	05
AUSMDU00009485	3.6.1.1	2016_05	2016	05
AUSMDU00009486	3.7.29.1.2.1	2016_05	2016	05
AUSMDU00009487	3.7.29.1.2.1	2016_05	2016	05
AUSMDU00009489	3.7.29.1.2.1	2016_05	2016	05
