id	times	NC_007384	NC_007385	NC_009345	NC_009346	NC_009347
AUSMDU00009553	2017-09-01	1	0	1	0	1
AUSMDU00038113	2019-11-01	1	0	1	0	1
AUSMDU00038114	2019-11-01	1	0	1	0	1
AUSMDU00009153	2016-07-01	1	0	1	1	0
AUSMDU00014831	2018-04-01	1	0	0	0	0
AUSMDU00008362	2016-03-01	1	0	1	0	1
AUSMDU00021334	2018-10-01	1	0	1	0	1
AUSMDU00021848	2018-10-01	1	0	1	0	1
AUSMDU00011149	2017-12-01	1	0	0	0	0
AUSMDU00040370	2020-01-01	1	0	1	0	1
AUSMDU00042638	2020-02-01	1	1	1	0	1
AUSMDU00038533	2019-11-01	1	0	1	0	1
AUSMDU00039843	2019-12-01	1	0	1	0	1
AUSMDU00024429	2019-01-01	1	0	1	0	1
AUSMDU00011293	2017-12-01	1	0	1	1	1
AUSMDU00039767	2019-12-01	1	0	1	0	1
AUSMDU00011480	2017-12-01	1	0	1	0	1
AUSMDU00012912	2018-02-01	1	0	1	0	1
AUSMDU00033757	2019-08-01	1	0	1	0	1
AUSMDU00036897	2019-10-01	1	0	1	0	1
AUSMDU00024820	2019-01-01	1	0	1	0	1
AUSMDU00025312	2019-02-01	1	0	1	0	1
AUSMDU00012363	2018-01-01	1	0	1	0	0
AUSMDU00012364	2018-01-01	1	0	1	0	0
AUSMDU00027384	2019-03-01	1	0	1	0	1
AUSMDU00029579	2019-05-01	1	0	1	0	1
AUSMDU00013806	2018-03-01	1	0	1	1	0
AUSMDU00030252	2019-06-01	1	0	1	0	1
AUSMDU00032308	2019-07-01	1	1	1	0	1
AUSMDU00009369	2016-10-01	1	0	1	0	0
AUSMDU00010003	2016-10-01	1	0	1	0	0
AUSMDU00009488	2016-05-01	1	0	1	0	1
AUSMDU00009420	2017-06-01	1	0	1	0	1
AUSMDU00008649	2017-06-01	1	0	1	0	1
AUSMDU00044953	2020-03-01	1	0	1	0	1
AUSMDU00015777	2018-05-01	1	0	1	0	1
AUSMDU00016499	2018-05-01	1	0	1	0	1
AUSMDU00031534	2019-07-01	1	0	1	1	0
AUSMDU00008361	2016-03-01	1	0	1	0	0
AUSMDU00028600	2019-04-01	1	1	1	0	1
AUSMDU00036803	2019-10-01	1	0	1	0	1
AUSMDU00010044	2017-09-01	1	0	0	0	1
AUSMDU00010163	2017-10-01	1	1	0	0	0
AUSMDU00037932	2019-11-01	1	1	0	0	1
AUSMDU00005735	2016-09-01	1	0	1	0	1
AUSMDU00010002	2016-09-01	1	0	1	0	1
AUSMDU00009376	2016-10-01	1	0	1	0	1
AUSMDU00009991	2016-07-01	1	0	1	0	0
AUSMDU00009993	2016-08-01	1	0	1	0	0
AUSMDU00026706	2019-03-01	1	0	1	0	1
AUSMDU00009531	2016-06-01	1	0	1	0	0
AUSMDU00024390	2018-12-01	1	0	1	0	1
AUSMDU00021520	2018-10-01	1	0	1	0	1
AUSMDU00025311	2018-11-01	1	0	1	0	1
AUSMDU00025490	2019-02-01	1	0	1	0	1
AUSMDU00026328	2019-02-01	1	0	1	0	1
AUSMDU00010908	2017-11-01	1	0	1	0	1
AUSMDU00020144	2018-09-01	1	0	1	0	1
AUSMDU00021333	2018-10-01	1	0	1	0	1
AUSMDU00038111	2019-11-01	1	0	1	1	1
AUSMDU00042640	2020-02-01	1	0	1	0	0
AUSMDU00012898	2018-02-01	1	0	1	0	1
AUSMDU00013452	2018-02-01	1	0	1	0	1
AUSMDU00020272	2018-09-01	1	0	1	0	1
AUSMDU00028086	2019-04-01	1	0	1	0	1
AUSMDU00029346	2019-05-01	1	0	1	0	1
AUSMDU00024505	2019-01-01	1	0	1	0	1
AUSMDU00009458	2016-04-01	1	0	1	0	0
AUSMDU00040740	2020-01-01	1	0	1	0	1
AUSMDU00026010	2019-02-01	1	0	1	0	1
AUSMDU00027152	2019-03-01	1	0	1	0	1
AUSMDU00010704	2017-11-01	1	0	1	0	1
AUSMDU00028927	2019-04-01	1	0	1	0	1
AUSMDU00018499	2018-07-01	1	0	1	0	1
AUSMDU00019027	2018-08-01	1	0	1	0	1
AUSMDU00013807	2018-03-01	1	0	1	1	1
AUSMDU00013125	2018-02-01	1	0	0	0	1
AUSMDU00013591	2018-03-01	1	0	0	0	1
AUSMDU00028166	2019-04-01	1	0	1	0	1
AUSMDU00012504	2018-01-01	1	0	1	0	1
AUSMDU00009177	2016-08-01	1	0	1	0	0
AUSMDU00009496	2016-06-01	1	0	1	0	0
AUSMDU00040123	2020-01-01	1	0	0	0	1
AUSMDU00041668	2020-02-01	1	0	0	0	1
AUSMDU00028930	2019-04-01	1	0	1	0	1
AUSMDU00029771	2019-05-01	1	0	1	0	1
AUSMDU00025405	2019-02-01	1	0	1	0	1
AUSMDU00026138	2019-02-01	1	0	1	0	1
AUSMDU00027795	2019-04-01	1	0	1	0	1
AUSMDU00029772	2019-05-01	1	0	1	0	1
AUSMDU00009147	2016-06-01	1	0	1	0	0
AUSMDU00025486	2019-02-01	1	0	1	0	1
AUSMDU00037338	2019-10-01	1	0	1	0	1
AUSMDU00027616	2019-04-01	1	0	1	0	1
AUSMDU00009532	2016-06-01	1	0	1	0	0
AUSMDU00009989	2016-07-01	1	1	0	0	0
AUSMDU00008173	2016-08-01	1	0	1	0	0
