run	plasmid	snpcount
1	core1	5568
1	plasmid1	165
1	plasmid2	79
1	plasmid3	29
10	core1	1929
10	plasmid1	46
10	plasmid2	22
10	plasmid3	5
11	core1	2124
11	plasmid1	37
11	plasmid2	17
11	plasmid3	12
12	core1	630
12	plasmid1	16
12	plasmid2	5
12	plasmid3	1
13	core1	975
13	plasmid1	20
13	plasmid2	10
13	plasmid3	4
14	core1	3746
14	plasmid1	53
14	plasmid2	37
14	plasmid3	16
15	core1	657
15	plasmid1	7
15	plasmid2	7
15	plasmid3	1
16	core1	6483
16	plasmid1	171
16	plasmid2	61
16	plasmid3	37
17	core1	2553
17	plasmid1	59
17	plasmid2	21
17	plasmid3	13
18	core1	942
18	plasmid1	21
18	plasmid2	9
18	plasmid3	4
19	core1	1899
19	plasmid1	37
19	plasmid2	15
19	plasmid3	10
2	core1	2186
2	plasmid1	36
2	plasmid2	18
2	plasmid3	7
20	core1	573
20	plasmid1	12
20	plasmid2	7
20	plasmid3	4
21	core1	103
21	plasmid1	1
21	plasmid2	1
21	plasmid3	0
22	core1	1552
22	plasmid1	40
22	plasmid2	14
22	plasmid3	7
23	core1	452
23	plasmid1	10
23	plasmid2	3
23	plasmid3	2
24	core1	626
24	plasmid1	8
24	plasmid2	8
24	plasmid3	1
25	core1	6076
25	plasmid1	131
25	plasmid2	62
25	plasmid3	37
26	core1	3370
26	plasmid1	75
26	plasmid2	28
26	plasmid3	19
27	core1	5384
27	plasmid1	132
27	plasmid2	81
27	plasmid3	39
28	core1	210
28	plasmid1	2
28	plasmid2	1
28	plasmid3	0
29	core1	5857
29	plasmid1	130
29	plasmid2	68
29	plasmid3	22
3	core1	1831
3	plasmid1	36
3	plasmid2	15
3	plasmid3	12
30	core1	2614
30	plasmid1	60
30	plasmid2	10
30	plasmid3	20
31	core1	587
31	plasmid1	12
31	plasmid2	7
31	plasmid3	3
32	core1	838
32	plasmid1	9
32	plasmid2	6
32	plasmid3	2
33	core1	3329
33	plasmid1	83
33	plasmid2	37
33	plasmid3	14
34	core1	6846
34	plasmid1	159
34	plasmid2	66
34	plasmid3	41
35	core1	1745
35	plasmid1	30
35	plasmid2	22
35	plasmid3	9
36	core1	2323
36	plasmid1	55
36	plasmid2	26
36	plasmid3	5
37	core1	761
37	plasmid1	12
37	plasmid2	4
37	plasmid3	1
38	core1	2215
38	plasmid1	33
38	plasmid2	30
38	plasmid3	5
39	core1	4000
39	plasmid1	130
39	plasmid2	42
39	plasmid3	21
4	core1	698
4	plasmid1	17
4	plasmid2	10
4	plasmid3	0
40	core1	916
40	plasmid1	29
40	plasmid2	11
40	plasmid3	3
41	core1	1295
41	plasmid1	26
41	plasmid2	12
41	plasmid3	12
42	core1	3514
42	plasmid1	105
42	plasmid2	59
42	plasmid3	22
43	core1	3557
43	plasmid1	98
43	plasmid2	31
43	plasmid3	19
44	core1	2002
44	plasmid1	42
44	plasmid2	19
44	plasmid3	16
45	core1	366
45	plasmid1	6
45	plasmid2	5
45	plasmid3	0
46	core1	6824
46	plasmid1	166
46	plasmid2	85
46	plasmid3	37
47	core1	4606
47	plasmid1	88
47	plasmid2	48
47	plasmid3	22
48	core1	2068
48	plasmid1	54
48	plasmid2	19
48	plasmid3	8
49	core1	4997
49	plasmid1	152
49	plasmid2	64
49	plasmid3	35
5	core1	6313
5	plasmid1	134
5	plasmid2	69
5	plasmid3	32
50	core1	2232
50	plasmid1	41
50	plasmid2	27
50	plasmid3	5
6	core1	1323
6	plasmid1	28
6	plasmid2	6
6	plasmid3	7
7	core1	3305
7	plasmid1	76
7	plasmid2	34
7	plasmid3	13
8	core1	2689
8	plasmid1	51
8	plasmid2	28
8	plasmid3	11
9	core1	930
9	plasmid1	14
9	plasmid2	7
9	plasmid3	2
