Isolate	YearMonth	year	month	species	final genotype	name	confidence	num QRDR	parC_S80I	gyrA_S83L	gyrA_S83A	gyrA_D87G	gyrA_D87N	gyrA_D87Y	ESBL	Quinolone	Other antimicrobial	Trimethoprim	Quinolone/Triclosan	Streptomycin	Sulfonamide	Tetracycline	Macrolide	Gentamicin	Chloramphenicol	Beta-lactamase (not ESBL or carbapenemase)	Beta-lactamase (unknown spectrum)	ESBL (AmpC type)	NC_007385_plasmid_cover	NC_009345_plasmid_cover	NC_009346_plasmid_cover	NC_009347_plasmid_cover	pKSR100_plasmid_cover	ipaH	VIRULENCE_PLASMID	CLUSTER	SEROTYPE	O_ANTIGEN	H_ANTIGEN
AUSMDU00009553	2017_09	2017	9	S. sonnei	3.6.1.1	CipR	strong	3	1	1	0	1	0	0	blaCTX-M-15	"gyrA_S83L,parC_S80I,qnrS1"	sat2	dfrA1*	gyrA_D87G	aph(6)-Id	sul2	tet(A)	NA	NA	NA	NA	NA	NA	<10%	>90%	30-39%	>90%	70-79%	+	0	CSS	SS	NA	NA
AUSMDU00038113	2019_11	2019	11	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I,qnrB19"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	30-39%	>90%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00038114	2019_11	2019	11	S. sonnei	3.6.1.1.2	CipR.MSM5	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I,qnrB19"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aadA5,aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	NA	mph(A)	NA	NA	blaTEM-1	NA	NA	<10%	>90%	30-39%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00009153	2016_07	2016	7	S. sonnei	3.7.29.1.2.1	Global III VN2.MSM2.Aus	strong	1	0	1	0	0	0	0	NA	gyrA_S83L	sat2	"dfrA1,dfrA17"	NA	"aadA1,aadA5,aph(3'')-Ib,aph(6)-Id"	"sul1,sul2"	tet(A)	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	>90%	>90%	<10%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00014831	2018_04	2018	4	S. sonnei	3.7.29.1.2.1	Global III VN2.MSM2.Aus	strong	1	0	1	0	0	0	0	NA	gyrA_S83L	sat2	"dfrA1,dfrA17*"	NA	"aadA1,aadA5"	sul1	NA	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	<10%	20-29%	<10%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00008362	2016_03	2016	3	S. sonnei	3.6.1.1.1	CipR.SEA	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I"	sat2	dfrA1*	gyrA_D87G	"aph(3'')-Ib*,aph(6)-Id"	sul2	tet(A)	NA	NA	NA	NA	NA	NA	<10%	>90%	30-39%	>90%	<10%	+	0	CSS	SS	NA	NA
AUSMDU00021334	2018_10	2018	10	S. sonnei	3.6.1.1.1	CipR.SEA	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I,qnrB4"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	aph(6)-Id	"sul1,sul2"	tet(A)	mph(A)	NA	NA	NA	NA	blaDHA-1	<10%	>90%	30-39%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00021848	2018_10	2018	10	S. sonnei	3.6.1.1.1	CipR.SEA	strong	3	1	1	0	1	0	0	NA	"gyrA_S83L,parC_S80I,qnrB4"	sat2	"dfrA1*,dfrA17"	gyrA_D87G	"aph(3'')-Ib*,aph(6)-Id"	"sul1,sul2"	tet(A)	mph(A)	NA	NA	NA	NA	blaDHA-1	<10%	>90%	30-39%	>90%	80-89%	+	0	CSS	SS	NA	NA
AUSMDU00011149	2017_12	2017	12	S. sonnei	3.7.29.1.2.1	Global III VN2.MSM2.Aus	strong	1	0	1	0	0	0	0	NA	gyrA_S83L	sat2	"dfrA1,dfrA17"	NA	"aadA1,aadA5"	sul1	NA	"erm(B)*,mph(A)"	NA	NA	blaTEM-1	NA	NA	<10%	<10%	20-29%	<10%	>90%	+	0	CSS	SS	NA	NA
AUSMDU00040370	2020_01	2020	1	S. sonnei	3.7.29.1.4.1	Global III VN2.KH1.Aus	strong	1	0	1	0	0	0	0	blaCTX-M-27	gyrA_S83L	sat2	dfrA1	NA	"aadA1,aph(3'')-Ib,aph(6)-Id"	sul2	tet(A)	"erm(B)*,mph(A)"	NA	NA	NA	NA	NA	<10%	60-69%	20-29%	>90%	80-89%	+	0	CSS	SS	NA	NA
